sentence|category
Zwischen uns ist alles vorbei.|1
Zwischen moosbewachsenen Bäumen rauschte ein kleiner Waldbach dahin.|1
Zwischen beiden Ländern gibt es viele kulturelle Gemeinsamkeiten.|1
Zwischen beiden Ländern gibt es viele kulturelle Gemeinsamkeiten.|1
Zwischen beiden Ländern gibt es viele kulturelle Gemeinsamkeiten.|1
Zwischen beiden Ländern gibt es viele kulturelle Gemeinsamkeiten.|1
Zwischen beiden Ländern gibt es viele kulturelle Gemeinsamkeiten.|1
Zwing mich nicht, das zu tun!|1
Zwei, von denen einer nicht will, können sich nicht streiten.|2
Zwei Tagesrückfahrkarten nach Norwich, bitte.|1
Zwei Monate sind es nun schon, seit er nach Frankreich gezogen ist.|2
Zwei Menschen kamen in Rio beim Zusammensturz eines erhöhten Fahrradweges ums Leben.|2
Zwei Männer verloren bei einem Tauziehunfall in Taiwan ihre Arme.|2
Zwei kleine Kaninchen, ein weißes Kaninchen und ein schwarzes Kaninchen, lebten in einem großen Wald.|2
Zweifelst du noch an dem, was ich gesagt habe?|2
Zwei Einzelfahrkarten nach Bristol bitte.|1
Zu welcher Gruppe gehört dein Freund?|1
Zu welchem Zeitpunkt wird die Auferstehung sein?|1
Zu welchem Club gehörst du?|1
Zuvor hatte ich eine Chefin.|1
Zu Tische saßen ein Mann, eine Frau und ein Mädchen.|2
Zu Silvester isst man in Finnland Frankfurter, Frikadellen und Kartoffelsalat.|2
Zurzeit ist kein Zimmer frei.|1
Zum Teufel mit dem Universum!|1
Zum Mittagessen gibt es oft Reis oder Nudeln.|1
Zum Mittagessen gibt es oft Reis oder Nudeln.|1
Zum Glück wurde Tom nicht ernsthaft verletzt.|1
Zum Glück hat Tom den Unfall überlebt.|1
Zum Frühstück gab es Pfannkuchen mit Ahornsirup.|1
Zu meinem Erstaunen wurde der Anthropologe des Mordes angeklagt.|2
Zu jedem Warum gibt es ein Deswegen.|1
Zu Hause ist alles gut.|1
Zu Halloween passierte ein schädelförmiger Asteroid die Erde.|1
Zuerst war es mir peinlich.|1
Zuerst verbraucht man seine Gesundheit, um zu Geld zu kommen; dann sein Geld, um die Gesundheit zurückzuholen.|2
Zuerst muss ich etwas erledigen.|1
Zuerst brauchen wir einen Plan.|1
Zu der Feier kam nur Tom.|1
Zu Beginn eines jeden Tages melken die Tuareg zuallererst ihre Ziegen.|2
Zitronen sind gewöhnlich sauer.|1
Zieht man eine Schraube im oder gegen den Uhrzeigersinn an?|2
Zieht euch eure Schuhe an!|1
Zieh nicht so eine saure Miene!|1
Ziehen wir doch alle unsere Schuhe aus!|1
Ziehen Sie sich an!|1
Zieh dir die Schuhe aus!|1
Zieh dir deine Schuhe an!|1
Zensur ist nicht immer etwas Schlechtes.|1
Zeit ist nicht Geld - Zeit ist Leben.|1
Zeit ist ein Mysterium.|1
Zeig mir, was in dir steckt!|1
Zeig mir, was in dir steckt!|1
Zeig mir, was du hast.|1
Zeig mir die Puppe, die du gestern gekauft hast.|2
Zeigen Sie mir, wie man ein Kinderbett aufstellt?|1
Zeigen Sie mir bitte die Wunde.|1
Zeigen Sie mir bitte die Narbe.|1
Zeigen Sie es mir bitte noch einmal!|1
Zamenhof war ein sehr weiser Mensch.|1
Zamenhof schrieb einmal, man dürfe ihn zwar einen Sohn Polens“ nennen, nicht aber einen Polen“. Wenn man über seine Nationalität spreche, solle man stattdessen sagen, er bezeichne sich als russländischen Hebräer“.|3
Zahlreiche Europäer sind vielsprachig.|1
Yuriko bindet in ihrer Freizeit Blumensträuße.|1
Yanni wollte Skura einen Streich spielen.|1
Yanni will nach Nordjapan ziehen.|1
Yanni weiß, wo Skura ist.|1
Yanni war einen Kopf größer als Skura.|1
Yanni überprüfte noch einmal den Ölstand.|1
Yanni überprüfte noch einmal den Motor.|1
Yannis Plan, wie er Skura loswerden will, ist geradezu teuflisch.|2
Yanni saß neben mir.|1
Yanni machte Skura ein Geschenk.|1
Yanni ist ein Genie.|1
Yanni ist ein alter Freund.|1
Yanni ist ein algerischer Wirtschaftswissenschaftler.|1
Yanni hatte vom Öl ganz glitschige Hände.|1
Yanni hatte eine schöne Frau.|1
Yanni ging in sein Schlafzimmer.|1
Yanni ging hin, um nachzusehen, ob Skura noch da war.|2
Yanni gab Skura frische Feigen.|1
Yanni friert. Er will einen Pullover.|1
Yanni friert. Er braucht einen Pullover.|1
Yanni fing den Skorpion, trug ihn raus und ließ ihn frei.|2
Yanni bemerkte eine Frau, die dort saß.|1
Yanni befindet sich auf einer Japanreise.|1
Yanni beantwortet jeden Kommentar.|1
Yanni beantwortet jede Frage.|1
Xiaoming hielt die Schelte seiner Mutter nicht länger aus und fing an zu heulen.|2
Wusstet ihr nicht, dass Schildkröten Eier legen?|1
Wusstet ihr, dass Tom und Johannes Brüder sind?|1
Wusstet ihr, dass Prince Philip akzentfrei Deutsch konnte?|1
Wusstest du, dass Tom und Johannes Brüder sind?|1
Wusstest du, dass Tom darinnen ist?|1
Wusstest du, dass Maria und Elke Toms Schwestern sind?|2
Wussten Sie, dass Tom und Johannes Brüder sind?|1
Wussten Sie, dass Tom mit drei Jahren entführt wurde?|2
Würdet ihr mir etwas Platz machen?|1
Würdest du mich bitte auf WhatsApp hinzufügen?|1
Würdest du für mich auf die Kinder aufpassen?|1
Würdest du dich als gesprächig bezeichnen?|1
Würdest du das wirklich für mich tun?|1
Würdest du das für mich halten?|1
Wurden Sie von einer Biene gestochen?|1
Wurden Sie von einem herrenlosen Hund gebissen?|1
Wurden Sie schon einmal wegen einer Bronchitis oder einer Lungenentzündung in ein Krankenhaus eingewiesen?|2
Wurden Sie schon einmal wegen einer Blasenentzündung behandelt?|1
Würden Sie mir bitte sagen, was ich als Nächstes machen sollte?|2
Würden Sie mir bitte eine Karte der Untergrundbahn geben?|2
Würden Sie mich bitte entschuldigen?|1
Wurden Sie mal auf Tuberkulose getestet?|1
Wurden Sie jemals in eine psychiatrische Klinik eingewiesen?|1
Wurden Sie gegen Kinderkrankheiten geimpft?|1
Würden Sie das für mich halten?|1
Würden Sie bitte mal herkommen?|1
Wurde die Operation ambulant durchgeführt?|1
Wurde bei dir mal eine Lernschwäche festgestellt?|1
Wünschen Sie ein Gratismuster?|1
Wünschen Sie einen Fensterplatz?|1
Wozu wollen Sie das wissen?|1
Wo zum Henker warst du? Warum hast du mich nicht angerufen?|2
Wo wollt ihr damit hin?|1
Wo wollen Sie damit hin?|1
Wo wohnen Sie jetzt?|1
Wo willst du hin?|1
Wo willst du damit hin?|1
Wo waren deine Eltern?|1
Wovor haben die Kinder Angst?|1
Wovor fürchten sich die Kinder?|1
Wo sprecht ihr Esperanto?|1
Wo soll ich’s hintun?|1
Wo sitzen Sie gerade?|1
Wo sind Toms Schlüssel?|1
Wo sind meine roten Strümpfe?|1
Wo sind die schönsten Sätze?|1
Wo sind die Parkuhren?|1
Wo sind die Krokodile?|1
Wo sind die Bücher, die ich brauche?|1
Wo sind die Bücher, die ich brauche?|1
Wo sind die Autoschlüssel?|1
Wo sind deine Augen?|1
Wo sind bitte die Toiletten?|1
Wo seid ihr alle?|1
Worum es auch geht: Tom und seine Frau sind sich nie einig.|2
Worüber streitet ihr beiden euch?|1
Worüber haben Sie gesprochen?|1
Worte sollten bedeutungsvoll sein und nicht nur Geschwätz.|1
Worten, wohl gewählt, wohnt solch große Macht inne.|1
Woraus ist Asphalt gemacht?|1
Worauf wartest du? Antworte!|1
Worauf seid ihr stolz?|1
Worauf bist du stolz?|1
Woran erkenne ich, ob Tom mich liebt?|1
Woran dachtest du, Tom?|1
Wonach sollte ich suchen?|1
Wonach soll ich suchen?|1
Wo möchtest du lieber sitzen?|1
Womit soll ich anfangen?|1
Wo macht Tom das?|1
Wollt ihr Tom nicht aufhalten?|1
Wollt ihr noch einen von denen?|1
Wollt ihr noch eine davon?|1
Wollt ihr bestimmt nicht auf Tom warten?|1
Wolltest du das sagen?“ – Ja, du hast es auf den Punkt gebracht.“|2
Wollen wir uns nicht draußen in die Sonne setzen?|2
Wollen wir auf ihn warten?|1
Wollen wir alle zusammen etwas zu Mittag essen?|1
Wollen Sie dieses Risiko eingehen?|1
