sentence|category
It's all over between us.|1
A small forest brook flowed between the moss-covered trees.|2
The two countries have a lot in common culturally.|2
There is much in common between the two countries culturally.|2
Culturally, the two countries have a lot in common.|2
Culturally, there is much common ground between the two countries.|2
Culturally speaking, the two countries have a lot in common.|2
Don't make me do that.|1
Two don't fight if one doesn't want to.|1
Two day returns to Norwich, please.|1
Two months have passed since he left for France.|2
Two persons were killed when an elevated bike path collapsed in Rio.|2
Two men had their arms severed in Taiwan after a tug-of-war accident.|2
Two small rabbits, a white rabbit and a black rabbit, lived in a large forest.|2
Are you still in doubt about what I have said?|2
Two singles to Bristol, please.|1
Which group is your friend in?|1
When will the resurrection be?|1
Which club do you belong to?|1
My previous boss was a woman.|1
At the table sat a man, a woman, and a girl.|2
People eat frankfurters, meatballs and potato salad on New Year's Eve in Finland.|2
No room is currently available.|1
Fuck the universe.|1
There's often rice or pasta for lunch.|1
Lunch is often rice or pasta.|1
Fortunately, Tom did not get seriously hurt.|1
Fortunately, Tom survived the accident.|1
We ate pancakes and maple syrup for breakfast.|1
To my surprise, the anthropologist was accused of murder.|2
Every why has its because.|1
Everything's good at home.|1
A skull shaped asteroid flew by the Earth on Halloween.|2
I felt embarrassed at first.|1
First you squander your health to acquire money; then your money to get your health back.|2
I have something to do first.|1
We need a plan first.|1
Tom was the only one who came to the party.|2
The Tuaregs begin their day by milking their goats.|2
Lemons are usually sour.|1
How do you tighten a screw, clockwise or counterclockwise?|2
Put your shoes on.|1
Don't make such a sour face!|1
Why don't we all take off our shoes?|1
Get your clothes on.|1
Take your shoes off.|1
Put your shoes on.|1
Censorship is not always a bad thing.|1
Time is not money. - Time is life.|1
Time is a mystery.|1
Show me what you're capable of!|1
Show me what you can do!|1
Show me what you have.|1
Show me the doll that you bought yesterday.|1
Will you show me how to set up a cot?|2
Please show me the wound.|1
Please show me the scar.|1
Please show it to me again.|1
Zamenhof was a very wise man.|1
Zamenhof once wrote that others can call him a son of Poland, but not Polish. Instead, when speaking about his nationality, they should say that he refers to himself as Russian Hebrew.|3
Many Europeans are multilingual.|1
Yuriko arranges flowers in her spare time.|1
Yanni wanted to play a prank on Skura.|1
Yanni wants to move to northern Japan.|1
Yanni knows where Skura is.|1
Yanni was a foot taller than Skura.|1
Yanni checked the oil again.|1
Yanni checked the engine again.|1
Yanni's scheme to get rid of Skura is downright diabolical.|2
Yanni sat next to me.|1
Yanni gave Skura a gift.|1
Yanni is a genius.|1
Yanni is an old friend.|1
Yanni is an Algerian economist.|1
Yanni's hands were slippery because they were oily.|1
Yanni had a beautiful wife.|1
Yanni went into his bedroom.|1
Yanni went to check if Skura was still there.|2
Yanni gave Skura some fresh figs.|1
Yanni is cold. He wants a sweater.|1
